testIndex,label,targetSegments,questionsPerTest,abilityCount,revisionMinCount,unlockWeek,notes
1,第1回 R7 学科A,R7gakkaA,30,4,2,0,
2,第2回 R7 学科B,R7gakkaB,30,4,2,1,
3,第3回 R6 学科A,R6gakkaA,30,4,2,2,
4,第4回 R6 学科B,R6gakkaB,30,4,2,3,
5,第5回 R5 学科A,R5gakkaA,30,4,2,4,
6,第6回 R5 学科B,R5gakkaB,30,4,2,5,
7,第7回 R4 学科A,R4gakkaA,30,4,2,6,
8,第8回 R4 学科B,R4gakkaB,30,4,2,7,
9,第9回 R3 学科A,R3gakkaA,30,4,2,8,
10,第10回 R3 学科B,R3gakkaB,30,4,2,9,
11,第11回 R2 学科A,R2gakkaA,30,4,2,10,
12,第12回 R2 学科B,R2gakkaB,30,4,2,11,
13,第13回 R1 学科A,R1gakkaA,30,4,2,12,
14,第14回 R1 学科B,R1gakkaB,30,4,2,13,
